release_build,eol_date,component,cell_value,status,source_row,source_component_col,source_cell
Release 14 | (Build 14.0.0.33343),May-2024,Product Engineering,Release 14 | (14.0.1),End of Life,5,D,D5
Release 14 | (Build 14.0.0.33343),May-2024,Program Management,Release 14 | (14.0.1),End of Life,5,E,E5
Release 14 | (Build 14.0.0.33343),May-2024,Requirements Engineering,Release 14 | (14.0.1),End of Life,5,F,F5
Release 14 | (Build 14.0.0.33343),May-2024,Systems Architecture,Release 14 | (14.0.1),End of Life,5,G,G5
Release 14 | (Build 14.0.0.33343),May-2024,Simulation Management,Release 14 | (14.0.1),End of Life,5,H,H5
Release 14 | (Build 14.0.0.33343),May-2024,Component Engineering,Release 14 | (14.0.1),End of Life,5,I,I5
Release 14 | (Build 14.0.0.33343),May-2024,Technical Documentation,Release 14 | (14.0.1),End of Life,5,J,J5
Release 14 | (Build 14.0.0.33343),May-2024,Quality Management System,Release 14 | (14.0.1),End of Life,5,K,K5
Release 14 | (Build 14.0.0.33343),May-2024,Process Quality Binding,Release 14 | (14.0.1),End of Life,5,L,L5
Release 14 | (Build 14.0.0.33343),May-2024,Manufacturing Process Planning,Release 14 | (14.0.1),End of Life,5,M,M5
Release 14 | (Build 14.0.0.33343),May-2024,Digital Twin Core,,End of Life,5,N,N5
Release 14 | (Build 14.0.0.33343),May-2024,Unified Change Management,,End of Life,5,O,O5
Release 14 | (Build 14.0.0.33343),May-2024,Variant Management,,End of Life,5,P,P5
Release 14 | (Build 14.0.0.33343),May-2024,High Tech Electronics,,End of Life,5,Q,Q5
Release 14 | (Build 14.0.0.33343),May-2024,Supplier Management,,End of Life,5,R,R5
Release 14 | (Build 14.0.0.33343),May-2024,Aras ProAppDesigner,,End of Life,5,S,S5
Release 14 | (Build 14.0.0.33343),May-2024,Aras Portal,,End of Life,5,T,T5
Release 14 | (Build 14.0.0.33343),May-2024,Office Connector,Release 14 | (14.0.1),End of Life,5,U,U5
Release 14 | (Build 14.0.0.33343),May-2024,Office Productivity Connector,Release 14 | (14.0.0.14),End of Life,5,V,V5
Release 14 | (Build 14.0.0.33343),May-2024,Workspace Productivity Connector,,End of Life,5,W,W5
